# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유,진입월,사건ID,사건,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,E2,3,2020-10,M007,이건희 회장 별세 (상속·배당 정책 전환),30,0,0.1293127782673641,0.31557588455927665,0.1904576211456356,-0.18626310629191256,-0.061144842878271516,0.1263127782673641,-0.06414484287827152
KOSPI,E1,6,2020-10,M007,이건희 회장 별세 (상속·배당 정책 전환),30,0,0.3108093282894441,0.36084298495885736,0.4287367360373942,-0.050033656669413284,-0.11792740774795013,0.3078093282894441,-0.12092740774795013
KOSPI,E2,6,2020-10,M007,이건희 회장 별세 (상속·배당 정책 전환),30,0,0.23744343321104527,0.36084298495885736,0.4287367360373942,-0.12339955174781209,-0.19129330282634893,0.23444343321104527,-0.19429330282634893
KOSPI,E1,1,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,0,-0.027009365937626997,0.04755719046834463,0.017114679819111914,-0.07456655640597162,-0.04412404575673891,-0.030009365937626997,-0.04712404575673891
KOSPI,E2,1,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,0,-0.04014330232114382,0.04755719046834463,0.017114679819111914,-0.08770049278948845,-0.057257982140255737,-0.04314330232114382,-0.06025798214025574
KOSPI,E1,3,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,1,-0.0786712202745751,0.04728031578806613,0.02961621603335611,-0.12595153606264123,-0.10828743630793121,-0.0816712202745751,-0.11128743630793121
KOSPI,E2,3,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,0,-0.0250479777276328,0.04728031578806613,0.02961621603335611,-0.07232829351569893,-0.05466419376098891,-0.0280479777276328,-0.05766419376098891
KOSPI,E1,6,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,1,-0.040923443648031785,0.04463790261491318,0.05786564380067308,-0.08556134626294497,-0.09878908744870486,-0.04392344364803179,-0.10178908744870487
KOSPI,E2,6,2023-11,M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),30,0,0.1585819539117401,0.04463790261491318,0.05786564380067308,0.11394405129682691,0.10071631011106702,0.1555819539117401,0.09771631011106702
KOSPI,E1,1,2020-09,M010,LG화학 LG에너지솔루션 물적분할 발표,30,0,-0.03917273752850389,-0.024168729404740602,-0.0009215334897550389,-0.01500400812376329,-0.038251204038748855,-0.042172737528503895,-0.04125120403874886
