# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,004380,15,0.315,0.075,-0.662,-0.351,
KOSPI,004410,49,-0.195,-0.214,0.344,-0.473,하
KOSPI,004415,3,0.955,-1.0,,,
KOSPI,004430,52,0.636,-0.112,-0.134,-0.287,상
KOSPI,004440,52,0.106,-0.026,-0.11,0.133,중
KOSPI,004450,52,-0.095,-0.117,-0.235,-0.109,하
KOSPI,004490,52,0.571,0.002,-0.15,-0.002,상
KOSPI,004540,52,-0.221,0.077,-0.026,-0.059,하
KOSPI,004545,21,0.473,-0.62,0.309,-0.318,
KOSPI,004560,52,-0.517,-0.016,-0.087,0.338,하
KOSPI,004690,52,0.56,-0.018,-0.229,0.044,상
KOSPI,004700,52,-0.124,0.162,-0.012,0.122,하
KOSPI,004710,50,-0.198,-0.061,-0.047,-0.158,하
KOSPI,004720,52,0.473,0.025,-0.159,-0.133,상
KOSPI,004770,52,0.481,-0.244,-0.035,0.096,상
KOSPI,004800,52,-0.12,0.054,0.077,0.256,하
KOSPI,004830,52,0.064,0.2,-0.2,-0.012,중
KOSPI,004835,49,0.475,0.064,-0.095,-0.021,상
KOSPI,004840,52,0.464,-0.032,0.01,-0.009,상
KOSPI,004870,50,-0.722,0.14,-0.022,-0.056,하
KOSPI,004890,52,0.178,-0.166,-0.471,0.228,중
KOSPI,004910,52,0.184,0.065,-0.006,-0.12,중
KOSPI,004920,52,0.432,0.2,-0.277,-0.086,상
KOSPI,004960,52,-0.161,-0.077,0.11,0.309,하
KOSPI,004970,52,0.477,0.275,-0.291,-0.118,상
KOSPI,004980,52,-0.178,0.129,-0.09,0.283,하
KOSPI,004985,52,0.348,-0.085,0.136,-0.039,상
KOSPI,004990,52,0.298,0.093,0.023,-0.208,상
KOSPI,00499K,52,0.017,-0.087,-0.061,-0.094,중
KOSPI,005010,52,0.371,0.121,-0.287,0.036,상
KOSPI,005030,0,,,,,
KOSPI,005070,52,0.196,0.265,0.018,-0.115,중
KOSPI,005090,52,-0.078,0.249,0.187,-0.128,하
KOSPI,005110,0,,,,,
KOSPI,005180,52,0.328,0.207,0.045,0.154,상
KOSPI,005250,52,0.31,0.195,0.318,-0.075,상
KOSPI,005257,2,,,,,
KOSPI,005300,52,-0.095,0.044,0.014,-0.029,하
KOSPI,005305,52,-0.013,0.033,0.21,0.071,하
KOSPI,005320,50,-0.073,0.215,0.22,0.117,하
KOSPI,005360,52,-0.524,-0.254,0.034,0.103,하
KOSPI,005380,52,0.104,-0.035,0.085,-0.116,중
KOSPI,005385,52,0.216,-0.178,-0.019,-0.198,중
KOSPI,005387,52,0.171,-0.121,0.066,-0.308,중
KOSPI,005389,52,0.143,0.048,0.225,-0.186,중
KOSPI,005390,9,-0.487,-0.009,0.008,-0.545,
KOSPI,005420,52,0.358,0.101,0.029,0.029,상
KOSPI,005430,52,0.297,-0.145,0.022,-0.275,상
KOSPI,005440,52,-0.156,0.007,0.3,0.232,하
KOSPI,005490,52,0.28,0.134,-0.1,-0.078,중
KOSPI,005500,52,-0.156,-0.156,-0.021,0.13,하
KOSPI,005610,52,0.168,0.132,-0.036,0.097,중
KOSPI,005680,52,0.323,0.169,0.06,0.052,상
KOSPI,005690,52,0.145,-0.083,0.062,-0.133,중
KOSPI,005720,52,0.081,0.171,0.216,0.168,중
KOSPI,005725,25,0.533,0.178,-0.02,0.125,
KOSPI,005740,52,0.088,-0.002,-0.082,-0.072,중
KOSPI,005745,31,0.031,-0.281,0.219,0.034,
KOSPI,005750,52,0.121,0.088,0.022,-0.16,중
KOSPI,005800,52,-0.016,0.121,-0.072,0.241,하
KOSPI,005810,52,-0.619,0.057,-0.157,0.068,하
KOSPI,005820,52,0.022,-0.103,-0.104,0.003,중
KOSPI,005830,52,-0.1,-0.198,0.125,0.069,하
KOSPI,005850,52,-0.037,0.064,0.135,-0.322,하
KOSPI,005870,52,0.12,0.102,-0.011,-0.024,중
KOSPI,005880,52,0.597,-0.206,0.066,-0.01,상
KOSPI,005930,52,0.366,0.137,0.042,0.24,상
KOSPI,005935,52,0.112,0.265,0.024,0.154,중
KOSPI,005940,52,-0.201,-0.019,0.207,-0.029,하
KOSPI,005945,52,0.418,0.186,0.114,-0.026,상
KOSPI,005950,52,0.236,-0.177,0.048,-0.24,중
KOSPI,005960,52,0.55,-0.105,-0.134,-0.324,상
KOSPI,005965,24,-0.013,-0.006,-0.205,0.32,
KOSPI,006040,52,0.094,0.01,0.017,-0.021,중
KOSPI,006060,52,0.337,0.31,0.067,0.029,상
KOSPI,006090,52,0.333,0.022,-0.267,0.127,상
KOSPI,006110,52,0.034,-0.052,0.002,-0.019,중
KOSPI,006120,52,0.189,-0.189,-0.031,-0.237,중
KOSPI,006125,52,0.143,0.082,0.055,-0.267,중
KOSPI,006200,50,-0.408,0.241,0.04,-0.351,하
KOSPI,006220,52,-0.188,-0.076,0.205,-0.007,하
KOSPI,006260,52,-0.389,0.191,-0.171,-0.078,하
KOSPI,006280,52,0.242,-0.084,0.038,0.059,중
KOSPI,006340,52,0.026,0.163,-0.203,0.094,중
KOSPI,006345,52,-0.402,0.012,-0.222,0.085,하
KOSPI,006360,52,-0.018,0.042,-0.372,0.164,하
KOSPI,006370,52,0.335,0.399,0.085,-0.052,상
KOSPI,006380,0,,,,,
KOSPI,006390,15,0.632,0.18,-0.559,-0.252,
KOSPI,006400,52,0.269,0.061,0.001,-0.127,중
KOSPI,006405,52,0.307,0.006,-0.233,-0.155,상
KOSPI,006490,50,-0.33,-0.04,0.227,0.04,하
KOSPI,006570,52,-0.132,-0.204,0.0,-0.112,하
KOSPI,006650,52,-0.121,0.227,-0.148,-0.045,하
KOSPI,006660,52,-0.261,0.038,-0.25,-0.18,하
KOSPI,006740,48,-0.087,0.029,0.218,-0.066,하
KOSPI,006800,52,-0.061,0.087,0.139,0.217,하
KOSPI,006805,52,-0.09,0.151,-0.08,0.079,하
KOSPI,00680K,52,0.112,-0.139,-0.028,-0.12,중
KOSPI,006840,52,0.385,0.176,-0.154,-0.06,상
KOSPI,006880,52,0.189,-0.042,0.188,0.117,중
KOSPI,006890,52,-0.063,0.204,-0.067,-0.103,하
KOSPI,006980,52,-0.132,0.13,-0.009,-0.16,하
KOSPI,007070,52,0.327,-0.177,-0.114,0.032,상
KOSPI,007110,52,0.165,0.064,0.026,-0.223,중
KOSPI,007120,52,-0.191,0.16,0.129,-0.098,하
KOSPI,007160,52,-0.149,0.046,0.017,0.316,하
KOSPI,007210,52,0.216,0.204,-0.21,0.147,중
KOSPI,007280,50,-0.205,0.237,0.184,0.157,하
KOSPI,007310,52,0.392,0.158,-0.068,0.083,상
KOSPI,007340,52,-0.065,-0.198,-0.068,-0.107,하
KOSPI,007460,50,-0.004,-0.059,0.079,-0.016,중
KOSPI,007540,52,-0.209,0.42,0.137,0.031,하
KOSPI,007570,25,0.252,0.041,0.159,0.431,
KOSPI,007575,16,0.434,-0.298,-0.381,-0.313,
KOSPI,007590,52,0.098,-0.227,-0.019,0.05,중
KOSPI,007610,12,-0.604,0.386,-0.271,0.736,
KOSPI,007660,52,0.348,0.194,0.082,0.115,상
KOSPI,007690,52,0.403,0.026,-0.039,-0.004,상
KOSPI,007700,52,0.256,0.204,-0.03,0.139,중
KOSPI,007810,52,-0.14,-0.121,0.274,-0.039,하
KOSPI,007815,52,0.343,-0.025,0.018,0.06,상
KOSPI,00781K,23,-0.1,0.061,0.008,-0.129,
